StudentID,SpendHours,CountryLive,Gender,AgeRange,EducationLevel,InitialExpectID,InitialExpectValue,EndExpectID,EndExpectValue
08f5b2aca4e01fde8720d6262f5f54e82dc78b05,5 a 6 horas,N/C,N/C,N/C,N/C,5,Excelente,5,Excelente
ab27c3e5a404666ca88dbbbd78f2e2a4f4f76971,1 a 2 horas,N/C,N/C,N/C,N/C,2,Regular,5,Excelente
25dd465f513083887276d327e4eafe4c6c1b4ca3,5 a 6 horas,N/C,N/C,N/C,N/C,3,Buena,4,Muy buena
686968209273558eed7d8631fa047873f0b775be,5 a 6 horas,N/C,N/C,N/C,N/C,3,Buena,5,Excelente
c69766d4068dd51b91b9fcef16ae312a56804c5b,5 a 6 horas,N/C,N/C,N/C,N/C,3,Buena,5,Excelente
2c63fd7b4e0e367effff2ff68a2f04c5f6db2f4f,9 horas o mas,N/C,N/C,N/C,N/C,2,Regular,4,Muy buena
7f5a7a1a0236afe62888e2550906e97bd2151497,3 a 4 horass,N/C,N/C,N/C,N/C,3,Buena,4,Muy buena
78afc0f9b4e31667a086c7e6a61aaf308f233571,1 a 2 horas,N/C,N/C,N/C,N/C,4,Muy buena,5,Excelente
602175526c486ad9b4b4c1f28494ecb587fa2f4c,1 a 2 horas,N/C,N/C,N/C,N/C,1,Poca,3,Buena
3f200ea3242726c2bdc6de730f7078e211b594bc,1 a 2 horas,N/C,N/C,N/C,N/C,2,Regular,4,Muy buena
1b82cb8c81708fec2083e473d7075fe19d3d443d,1 a 2 horas,N/C,N/C,N/C,N/C,2,Regular,4,Muy buena
52e70109b6ecf649a84472a359bda0015c3beefe,3 a 4 horass,N/C,N/C,N/C,N/C,2,Regular,5,Excelente
f286b90f2f5c84f7aec9944d6110dfab22d64ff9,1 a 2 horas,N/C,N/C,N/C,N/C,4,Muy buena,5,Excelente
396dbde027be18e4f2e57175bc8904e4d206c1dc,1 a 2 horas,N/C,N/C,N/C,N/C,3,Buena,4,Muy buena
cf0fbc5084f112baf5adcc48cbaefaccc62cca52,3 a 4 horass,N/C,N/C,N/C,N/C,3,Buena,4,Muy buena
6003aa062ac1467ef4fe886edd7a701f18eda33b,3 a 4 horass,N/C,N/C,N/C,N/C,5,Excelente,5,Excelente
1413c113844f9d568b1f42bc3c01d6c44939631a,3 a 4 horass,N/C,N/C,N/C,N/C,2,Regular,5,Excelente
222514d09f360b777ceb6f4cac93452eb8577b17,1 a 2 horas,N/C,N/C,N/C,N/C,3,Buena,4,Muy buena
dc065998b57bdedf9f21b014c0fe8bc01b369899,3 a 4 horass,N/C,N/C,N/C,N/C,3,Buena,5,Excelente
60d9fae92350ffcf6da62612324e22c9b2c8f0f6,3 a 4 horass,N/C,N/C,N/C,N/C,3,Buena,4,Muy buena
fddf50d816aabedbfd1b6efcb2d83ed427eff174,5 a 6 horas,N/C,N/C,N/C,N/C,2,Regular,4,Muy buena
afe87053d7179ec6edbb49117d575f972cec2762,1 a 2 horas,N/C,N/C,N/C,N/C,5,Excelente,0,N/C
bd23a642efe2d3be6ae77656890e956f3544b7ad,3 a 4 horass,N/C,N/C,N/C,N/C,2,Regular,4,Muy buena
c7f02b9c7231cfc5f57de1f4fc3e9e9e02078684,7 a 8 horas,N/C,N/C,N/C,N/C,2,Regular,5,Excelente
897fa34a212f1565dc2e160b6f8d3ec64d018a54,5 a 6 horas,N/C,N/C,N/C,N/C,3,Buena,5,Excelente
